Date,Open,High,Low,Close,Adj Close,Volume
2018-05-28,0.378953,0.384646,0.362879,0.370172,0.370172,16839000
2018-05-29,0.368619,0.390244,0.328445,0.362569,0.362569,2343600
2018-05-30,0.361137,0.384703,0.331717,0.360938,0.360938,2465920
2018-05-31,0.360693,0.393734,0.356588,0.392609,0.392609,2160080
2018-06-01,0.387618,0.510964,0.380724,0.484327,0.484327,10212600
2018-06-02,0.481376,0.545913,0.459344,0.478464,0.478464,8101010
2018-06-03,0.478231,0.520819,0.468360,0.514666,0.514666,3563880
2018-06-04,0.514607,0.538729,0.467136,0.481071,0.481071,3845320
2018-06-05,0.479895,0.503173,0.456473,0.485767,0.485767,2571780
2018-06-06,0.487158,0.497368,0.444835,0.468202,0.468202,3666200
2018-06-07,0.469368,0.475521,0.413974,0.424952,0.424952,3033190
2018-06-08,0.425486,0.435532,0.367010,0.406559,0.406559,4826780
2018-06-09,0.393297,0.436291,0.331066,0.342024,0.342024,3600570
2018-06-10,0.341665,0.353855,0.254662,0.272337,0.272337,3160380
2018-06-11,0.266144,0.277021,0.199623,0.246606,0.246606,7204600
2018-06-12,0.248341,0.297477,0.215610,0.248887,0.248887,18127500
2018-06-13,0.249542,0.274330,0.220960,0.249831,0.249831,6540190
2018-06-14,0.251832,0.267542,0.240007,0.257510,0.257510,4810100
2018-06-15,0.257396,0.259931,0.240262,0.244838,0.244838,1817460
2018-06-16,0.242036,0.258478,0.233668,0.249307,0.249307,1435000
2018-06-17,0.252285,0.256728,0.245137,0.247484,0.247484,654206
2018-06-18,0.247479,0.284581,0.244985,0.280583,0.280583,4788610
2018-06-19,0.281386,0.303853,0.275116,0.295649,0.295649,5725270
2018-06-20,0.297618,0.322557,0.275665,0.311779,0.311779,3967600
2018-06-21,0.313956,0.345824,0.298237,0.304478,0.304478,5963670
2018-06-22,0.304516,0.305740,0.252135,0.252135,0.252135,3055980
2018-06-23,0.252190,0.265346,0.225091,0.239400,0.239400,1681320
2018-06-24,0.239323,0.248586,0.211356,0.232418,0.232418,2955310
2018-06-25,0.232158,0.257114,0.224155,0.234910,0.234910,2019260
2018-06-26,0.234910,0.250736,0.221720,0.225710,0.225710,750696
2018-06-27,0.226084,0.246113,0.224891,0.240081,0.240081,4897570
2018-06-28,0.240589,0.245478,0.230142,0.230354,0.230354,2477920
2018-06-29,0.230427,0.243443,0.222670,0.234663,0.234663,974682
2018-06-30,0.234790,0.245935,0.223388,0.224943,0.224943,1519030
2018-07-01,0.227229,0.231108,0.220441,0.228473,0.228473,424194
2018-07-02,0.228499,0.247163,0.220151,0.238710,0.238710,826273
2018-07-03,0.238830,0.247152,0.225533,0.229191,0.229191,1004540
2018-07-04,0.229215,0.272425,0.223210,0.245958,0.245958,2707680
2018-07-05,0.245271,0.277709,0.242569,0.259510,0.259510,3693470
2018-07-06,0.261415,0.267892,0.236043,0.243334,0.243334,2177620
2018-07-07,0.243286,0.257422,0.236125,0.257422,0.257422,864791
2018-07-08,0.257503,0.262090,0.239041,0.239723,0.239723,404621
2018-07-09,0.239295,0.244294,0.231242,0.232397,0.232397,832481
2018-07-10,0.231547,0.233441,0.175653,0.179098,0.179098,1426230
2018-07-11,0.178959,0.199616,0.178959,0.190651,0.190651,1440430
2018-07-12,0.190472,0.197052,0.147031,0.168584,0.168584,855351
2018-07-13,0.164620,0.195700,0.163423,0.174916,0.174916,1705240
2018-07-14,0.179905,0.183343,0.165272,0.176185,0.176185,1364520
2018-07-15,0.172199,0.188240,0.166979,0.176274,0.176274,972309
2018-07-16,0.176359,0.196442,0.169078,0.183851,0.183851,427570
2018-07-17,0.184431,0.191913,0.170183,0.188480,0.188480,713982
2018-07-18,0.184376,0.195046,0.175351,0.178162,0.178162,471409
2018-07-19,0.176647,0.182490,0.167323,0.171746,0.171746,1933020
2018-07-20,0.170664,0.171232,0.142578,0.144767,0.144767,433005
2018-07-21,0.144723,0.148230,0.136115,0.144139,0.144139,1514910
2018-07-22,0.144194,0.151403,0.141196,0.146330,0.146330,875288
2018-07-23,0.146341,0.161348,0.142454,0.154733,0.154733,2452730
2018-07-24,0.150073,0.174370,0.148014,0.167401,0.167401,2243620
2018-07-25,0.167724,0.249623,0.161137,0.219082,0.219082,6217070
2018-07-26,0.219301,0.240673,0.188295,0.198973,0.198973,4394170
2018-07-27,0.197398,0.222038,0.191756,0.201562,0.201562,2922280
2018-07-28,0.201285,0.211136,0.186320,0.192718,0.192718,1483630
2018-07-29,0.192324,0.203733,0.190006,0.193400,0.193400,1882410
2018-07-30,0.195109,0.195109,0.175244,0.188195,0.188195,1291950
2018-07-31,0.188495,0.188551,0.143302,0.159356,0.159356,1713840
2018-08-01,0.159179,0.182497,0.130827,0.139997,0.139997,419945
2018-08-02,0.140002,0.182669,0.120513,0.121846,0.121846,385047
2018-08-03,0.121848,0.121848,0.102749,0.110787,0.110787,464502
2018-08-04,0.110690,0.120405,0.102139,0.106215,0.106215,271624
2018-08-05,0.107124,0.109687,0.103191,0.108150,0.108150,212407
2018-08-06,0.108487,0.113546,0.105826,0.109127,0.109127,209456
2018-08-07,0.108285,0.110155,0.097989,0.098001,0.098001,276800
2018-08-08,0.097867,0.097867,0.076175,0.077130,0.077130,431136
2018-08-09,0.077206,0.083020,0.076623,0.081971,0.081971,179941
2018-08-10,0.081655,0.081655,0.061278,0.066765,0.066765,402100
2018-08-11,0.067859,0.067975,0.057528,0.062400,0.062400,137187
2018-08-12,0.062263,0.065279,0.056642,0.060529,0.060529,551765
2018-08-13,0.060805,0.062290,0.046726,0.048308,0.048308,692102
2018-08-14,0.048224,0.050052,0.041773,0.045829,0.045829,158322
2018-08-15,0.045966,0.049819,0.043380,0.044381,0.044381,206600
2018-08-16,0.044445,0.045631,0.040479,0.044310,0.044310,454657
2018-08-17,0.043871,0.051940,0.043648,0.051298,0.051298,693429
2018-08-18,0.051795,0.057193,0.042115,0.044614,0.044614,455868
2018-08-19,0.044669,0.085133,0.044209,0.084369,0.084369,276010
2018-08-20,0.084030,0.084577,0.043530,0.044211,0.044211,217374
2018-08-21,0.044116,0.049703,0.044058,0.047691,0.047691,417480
2018-08-22,0.047674,0.058917,0.047266,0.049010,0.049010,504202
2018-08-23,0.049013,0.056761,0.048354,0.053292,0.053292,401465
2018-08-24,0.053262,0.064643,0.053074,0.064350,0.064350,495447
2018-08-25,0.064729,0.068885,0.059614,0.068808,0.068808,240335
